m,c
-2.655,2.656227109273837
-2.654,2.6552310805771184
-2.653,2.6542350636669516
-2.652,2.6532390585746555
-2.651,2.6522430653316165
-2.65,2.6512470839692956
-2.649,2.6502511145192247
-2.648,2.6492551570130063
-2.647,2.648259211482316
-2.646,2.6472632779589014
-2.645,2.6462673564745813
-2.644,2.6452714470612477
-2.643,2.644275549750864
-2.642,2.6432796645754673
-2.641,2.642283791567166
-2.64,2.6412879307581427
-2.639,2.640292082180652
-2.638,2.6392962458670213
-2.637,2.6383004218496517
-2.636,2.6373046101610176
-2.635,2.636308810833666
-2.634,2.6353130239002187
-2.633,2.63431724939337
-2.632,2.6333214873458894
-2.631,2.632325737790618
-2.63,2.631330000760473
-2.629,2.6303342762884454
-2.628,2.6293385644076
-2.627,2.6283428651510756
-2.626,2.6273471785520877
-2.625,2.626351504643923
-2.624,2.625355843459947
-2.623,2.624360195033598
-2.622,2.623364559398387
-2.621,2.6223689365879057
-2.62,2.6213733266358172
-2.619,2.620377729575862
-2.618,2.6193821454418527
-2.617,2.618386574267683
-2.616,2.617391016087318
-2.615,2.616395470934802
-2.614,2.615399938844252
-2.613,2.6144044198498655
-2.612,2.6134089139859125
-2.611,2.612413421286741
-2.61,2.6114179417867764
-2.609,2.6104224755205205
-2.608,2.609427022522551
-2.607,2.6084315828275235
-2.606,2.607436156470171
-2.605,2.6064407434853036
-2.604,2.6054453439078085
-2.603,2.6044499577726503
-2.602,2.6034545851148723
-2.601,2.602459225969595
-2.6,2.601463880372017
-2.599,2.6004685483574144
-2.598,2.5994732299611423
-2.597,2.598477925218635
-2.596,2.5974826341654023
-2.595,2.596487356837036
-2.594,2.5954920932692045
-2.593,2.5944968434976565
-2.592,2.593501607558219
-2.591,2.5925063854867982
-2.59,2.591511177319379
-2.589,2.5905159830920272
-2.588,2.5895208028408874
-2.587,2.588525636602183
-2.586,2.587530484412219
-2.585,2.586535346307379
-2.584,2.5855402223241275
-2.583,2.5845451124990095
-2.582,2.583550016868648
-2.581,2.58255493546975
-2.58,2.5815598683391014
-2.579,2.5805648155135685
-2.578,2.5795697770300983
-2.577,2.578574752925721
-2.576,2.577579743237546
-2.575,2.5765847480027633
-2.574,2.5755897672586463
-2.573,2.574594801042551
